fung,AI,isolate,code,date_measured,DPI,trt,rate_ppm,rep,length_mm,width_mm,avg_mm,area_mm
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0,1,84,84,79,4899.185
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0,2,84,84,79,4899.185
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0,3,84,84,79,4899.185
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0,1,84,84,79,4899.185
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0,2,84,84,79,4899.185
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0,3,75.81,72.48,69.145,3750.933158
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0.01,1,83.93,82.32,78.125,4790.751066
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0.01,2,79.03,80.93,74.98,4412.561852
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0.01,3,84,84,79,4899.185
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0.01,1,80.43,74.07,72.25,4089.810829
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0.01,2,71.52,64.13,62.825,3087.662166
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0.01,3,80.52,79.49,75.005,4416.005568
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0.1,1,67.49,72.97,65.23,3334.244561
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0.1,2,76.78,75.03,70.905,3946.001419
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,0.1,3,73.91,72.24,68.075,3637.304094
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0.1,1,53.34,49.29,46.315,1680.668201
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0.1,2,55.95,56.2,51.075,2047.7824
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,0.1,3,56.76,48.55,47.655,1769.50618
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,1,1,19.83,19.24,14.535,165.775672
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,1,2,11.55,10.34,5.945,27.456945
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,1,3,15.57,13.35,9.46,69.2837075
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,1,1,15.47,15.87,10.67,89.3399865
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,1,2,13.23,12.42,7.825,47.937281
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,1,3,14.17,14.14,9.155,65.793833
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,10,1,8.1,6.6,2.35,3.8936
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,10,2,10.84,6.19,3.515,5.455436
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,10,3,7.17,7.82,2.495,4.803729
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,10,1,10.87,9.72,5.295,21.749524
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,10,2,8.22,7.62,2.92,6.622574
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,10,3,10.71,10.75,5.73,25.7735125
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,100,1,5.51,5.8,0.655,0.32028
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,100,2,6.27,5.62,0.945,0.618109
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,100,3,5.67,5.87,0.77,0.4575765
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,100,1,5,5,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,100,2,6.86,5.84,1.35,1.226484
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,100,3,5.41,5.91,0.66,0.2928835
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,500,1,5,5,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,500,2,5,5,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,8/3/2023,7,1,500,3,5,5,0,0
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,8/3/2023,7,1,500,1,10.47,6.89,3.68,8.1155655
