fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm,width_mm,average_diameter
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0,1,84,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0,2,84,84,84
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0,3,84,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,1,84,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,2,84,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0,3,75.81,72.48,74.145
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.01,1,83.93,82.32,83.125
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.01,2,79.03,80.93,79.98
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.01,3,84,84,84
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,1,80.43,74.07,77.25
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,2,71.52,64.13,67.825
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.01,3,80.52,79.49,80.005
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.1,1,67.49,72.97,70.23
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.1,2,76.78,75.03,75.905
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,0.1,3,73.91,72.24,73.075
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,1,53.34,49.29,51.315
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,2,55.95,56.2,56.075
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,0.1,3,56.76,48.55,52.655
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1,1,19.83,19.24,19.535
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1,2,11.55,10.34,10.945
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1,3,15.57,13.35,14.46
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,1,15.47,15.87,15.67
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,2,13.23,12.42,12.825
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1,3,14.17,14.14,14.155
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,10,1,8.1,6.6,7.35
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,10,2,10.84,6.19,8.515
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,10,3,7.17,7.82,7.495
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,1,10.87,9.72,10.295
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,2,8.22,7.62,7.92
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,10,3,10.71,10.75,10.73
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,100,1,5.51,5.8,5.655
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,100,2,6.27,5.62,5.945
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,100,3,5.67,5.87,5.77
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,1,5,5,5
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,2,6.86,5.84,6.35
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,100,3,5.41,5.91,5.66
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,500,1,5,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,500,2,5,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,500,3,5,5,5
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,1,10.47,6.89,8.68
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,2,8.3,7.32,7.81
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,500,3,9.77,7.24,8.505
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1000,1,5,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1000,2,5,5,5
Aprovia,Benzovindiflupyr,GD-16-1,SB1,7,1000,3,5,5,5
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,1,10.22,8.43,9.325
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,2,9.51,9.35,9.43
Aprovia,Benzovindiflupyr,LrwHC-1,SB15,7,1000,3,6.26,6.62,6.44
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,1,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,2,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0,3,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,1,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,2,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0,3,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,1,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,2,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.01,3,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,1,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,2,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.01,3,81.1,84,82.55
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,1,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,2,84,84,84
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,0.1,3,82.01,84,83.005
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,1,75.23,73.73,74.48
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,2,84,84,84
Cabrio,Pyraclostrobin,LrwHC-1,SB15,7,0.1,3,81.39,76.96,79.175
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,1,64.72,66.58,65.65
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,2,60.26,58.04,59.15
Cabrio,Pyraclostrobin,GD-16-1,SB1,7,1,3,49.54,49.46,49.5
