Fung.,A.I.,Isolate,Code,Date Plated,Date Measured,DPI,Rate (ppm),Rep,Length (mm),Width (mm)
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,0,1,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,0,2,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,0,3,84,84
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,500,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,500,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,500,3,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,1000,1,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,1000,2,0,0
Omega,fluazinam,GD-16-1,SB1,2023-06-14,2023-06-21,7,1000,3,0,0
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,0,1,84,84
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,0,2,84,84
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,0,3,84,84
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,500,1,7,7.1
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,500,2,0,0
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,500,3,10.72,10.76
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,1000,1,9.92,8.76
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,1000,2,9.89,11.33
Omega,fluazinam,Gla18-38,SB11,2023-06-14,2023-06-21,7,1000,3,7.64,8.09
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,0,1,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,0,2,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,0,3,84,84
Omega,fluazinam,LrwHC-1,SB15,2023-06-14,2023-06-21,7,500,1,0,0
